,cnt,cnt_model1,cnt_model2,error_model1,error_model2
78,2471,1732.622,2132.0,738.3780517578125,339.0
190,4881,4595.7783,4342.0,285.2216796875,539.0
58,1446,2227.7686,1913.0,-781.7685546875,-467.0
373,2376,2436.9773,2802.0,-60.977294921875,-426.0
685,5698,5628.682,5668.0,69.31787109375,30.0
281,5511,5182.437,4660.0,328.56298828125,851.0
426,3194,3746.3545,3761.0,-552.3544921875,-567.0
479,5633,5260.858,4220.0,372.14208984375,1413.0
338,3811,2206.6584,3750.0,1604.341552734375,61.0
369,3272,3431.1343,2802.0,-159.13427734375,470.0
467,5409,4894.7485,4220.0,514.25146484375,1189.0
480,6196,6522.3633,6304.0,-326.36328125,-108.0
727,3095,2523.0286,1787.0,571.971435546875,1308.0
539,7458,7661.934,7865.0,-203.93408203125,-407.0
477,1027,2396.0837,3214.0,-1369.083740234375,-2187.0
95,2808,2986.3032,3249.0,-178.30322265625,-441.0
627,7591,7978.1597,7870.0,-387.15966796875,-279.0
186,4629,4739.8843,4694.0,-110.88427734375,-65.0
537,5905,6421.2554,6591.0,-516.25537109375,-686.0
706,5008,3976.1099,4128.0,1031.89013671875,880.0
127,4333,4965.573,4687.0,-632.5732421875,-354.0
544,6879,7563.79,7286.0,-684.7900390625,-407.0
446,6871,5797.7925,6203.0,1073.20751953125,668.0
683,5495,5462.88,5260.0,32.1201171875,235.0
231,5191,5021.1157,5336.0,169.88427734375,-145.0
664,7444,6229.605,5424.0,1214.39501953125,2020.0
661,7466,7510.4883,7058.0,-44.48828125,408.0
470,7132,6481.633,6118.0,650.3671875,1014.0
7,959,1254.6577,986.0,-295.65771484375,-27.0
523,7494,7686.9473,7641.0,-192.947265625,-147.0
223,4905,4978.8135,4792.0,-73.8134765625,113.0
625,6869,6548.477,7415.0,320.52294921875,-546.0
218,3785,4401.103,4458.0,-616.10302734375,-673.0
725,441,798.5267,1301.0,-357.52667236328125,-860.0
618,7525,7905.0244,8167.0,-380.0244140625,-642.0
538,5823,6425.393,5713.0,-602.39306640625,110.0
641,7572,6408.4893,5424.0,1163.5107421875,2148.0
211,4302,4436.3003,4845.0,-134.30029296875,-543.0
299,2659,4056.2014,4105.0,-1397.201416015625,-1446.0
106,3744,3609.9236,3717.0,134.076416015625,27.0
245,4484,5136.8247,5345.0,-652.82470703125,-861.0
249,1996,2068.5396,2710.0,-72.53955078125,-714.0
37,1712,2374.3552,1107.0,-662.355224609375,605.0
542,7442,6957.444,7421.0,484.55615234375,21.0
717,5557,4612.025,4585.0,944.97509765625,972.0
60,2134,1755.822,2132.0,378.177978515625,2.0
653,5875,5765.5176,5585.0,109.482421875,290.0
729,1796,1715.7355,2311.0,80.2645263671875,-515.0
662,7693,7404.6143,7264.0,288.3857421875,429.0
655,7461,6639.3813,7264.0,821.61865234375,197.0
448,3372,4824.484,5170.0,-1452.48388671875,-1798.0
399,2832,2493.8528,1341.0,338.147216796875,1491.0
495,6572,6367.6045,6133.0,204.3955078125,439.0
368,2368,3053.6804,3422.0,-685.680419921875,-1054.0
63,2077,2118.0088,2417.0,-41.0087890625,-340.0
102,2162,2313.259,2660.0,-151.259033203125,-498.0
515,6855,6974.1836,5740.0,-119.18359375,1115.0
292,4195,4353.6006,3115.0,-158.6005859375,1080.0
133,3409,3230.083,3641.0,178.9169921875,-232.0
633,7538,7748.0596,7907.0,-210.0595703125,-369.0
648,7691,7379.7896,7282.0,311.21044921875,409.0
300,3747,3447.8096,3331.0,299.1904296875,416.0
303,3669,3580.4958,3331.0,88.504150390625,338.0
240,4634,4815.2495,5204.0,-181.24951171875,-570.0
431,4916,4032.8298,4569.0,883.170166015625,347.0
362,2423,1856.4456,1011.0,566.554443359375,1412.0
468,6398,6523.284,7290.0,-125.2841796875,-892.0
121,4401,4230.233,4511.0,170.76708984375,-110.0
150,3982,4354.2305,4602.0,-372.23046875,-620.0
462,6857,5884.606,5169.0,972.39404296875,1688.0
560,6969,7106.6763,6685.0,-137.67626953125,284.0
590,6883,7085.7905,7534.0,-202.79052734375,-651.0
387,2432,2212.534,2177.0,219.466064453125,255.0
41,1746,1532.3766,1708.0,213.6234130859375,38.0
669,5566,4520.9893,4585.0,1045.0107421875,981.0
253,5046,5070.9795,4660.0,-24.9794921875,386.0
698,5323,5555.487,5611.0,-232.48681640625,-288.0
138,4575,4630.095,4630.0,-55.09521484375,-55.0
15,1204,1070.0464,981.0,133.95361328125,223.0
105,795,1677.0123,2660.0,-882.0123291015625,-1865.0
384,3163,3172.647,3292.0,-9.64697265625,-129.0
573,6904,6601.525,5687.0,302.47509765625,1217.0
275,3570,3295.279,4381.0,274.720947265625,-811.0
643,8156,7471.369,7639.0,684.630859375,517.0
120,3351,2984.9702,3717.0,366.02978515625,-366.0
99,2895,2379.8472,2744.0,515.15283203125,151.0
331,3867,4160.423,4985.0,-293.4228515625,-1118.0
206,4590,4709.14,3239.0,-119.14013671875,1351.0
376,4097,3278.39,4075.0,818.610107421875,22.0
351,2431,2576.0332,2739.0,-145.033203125,-308.0
